Player_Name,Team,Number,Position,Salary,Height,Weight,Birthdate,Age,Experience,College,City,State,Race
"Barkley, Matt",PHI,2,QB,684257,74,227,9/8/1990,23,0,USC,"Newport Beach, CA",california,White
"Barksdale, Joe",STL,68,OL,644750,77,329,1/1/1988,25,3,LSU,"Detroit, MI",michigan,Black
"Barner, Kenjon",CAR,25,RB,566450,69,190,4/28/1989,24,0,Oregon,"Los Angeles, CA",california,Black
"Barnes, Antwan",NYJ,95,LB,1333333,73,251,10/19/1984,29,7,Florida International,"Miami, FL",florida,Black
"Barnes, Khalif",OAK,69,OL,840000,78,321,4/21/1982,31,9,Washington,"San Diego, CA",california,Black
"Barnes, Tim",STL,61,C,480000,76,300,5/14/1988,25,2,Missouri,"Marshall, MO",missouri,White
"Barnett, Nick",WAS,50,LB,940000,74,228,5/17/1981,32,11,Oregon State,"Bartsow, CA",california,Black
"Barnidge, Gary",CLE,82,TE,1250000,77,250,9/22/1985,28,6,Louisville,"Bowling Green, KY",kentucky,White
"Barrington, Sam",GB,58,LB,552250,73,235,10/5/1990,23,0,South Florida,"Jacksonville, FL",florida,Black
"Barron, Alex",OAK,77,OL,715000,80,315,9/28/1982,31,8,Florida State,"Orangeburg, CA",california,Black
"Barron, Mark",TB,23,S,3616250,74,213,10/27/1989,24,2,Alabama,Mobile AL,alabama,Black
"Barwin, Connor",PHI,98,LB,6000000,76,260,10/15/1986,27,5,Cincinnati,"Southfield, MI",michigan,White
"Bass, Ben",DAL,79,DE,480000,77,294,10/12/1989,24,2,Texas A&M,"Grapevine, TX",texas,Black
"Bates, Daren",STL,51,LB,495000,71,212,11/27/1990,23,0,Auburn,,,Black
"Battle, Jackie",TEN,44,RB,,74,240,10/1/1983,30,6,Houston,"Houston, TX",texas,Black
"Beachum, Kelvin",PIT,68,OL,536474,75,303,6/8/1989,24,2,Southern Methodist,"Mexia, TX",texas,Black
"Beadles, Zane",DEN,68,OL,1080250,76,305,11/19/1986,27,4,Utah,"Casper, WY",wyoming,White
"Beasley, Cole",DAL,11,WR,480500,68,180,4/26/1989,24,2,Southern Methodist,"Houston, TX",texas,White
"Beason, Jon",CAR,52,LB,8821592,72,235,1/14/1985,28,7,Miami (Fla.),"Miramar, FL",florida,Black
"Beatty, Will",NYG,65,OL,7500000,78,319,3/2/1985,28,5,Connecticut,"York, PA",pennsylvania,Black
"Beauharnais, Steve",NE,45,LB,551898,74,230,5/2/1990,23,0,Rutgers,,,Black
"Bell, Byron",CAR,77,OL,469667,77,340,1/17/1989,24,3,New Mexico,"Greenville, TX",texas,Black
"Bell, Joique",DET,35,RB,630000,71,220,8/4/1986,27,3,Wayne State (Mich.),"Benton Harbor, MI",michigan,Black
"Bell, Le'Veon",PIT,26,RB,1030150,73,244,2/18/1992,21,0,Michigan State,"Mexia, TX",texas,Black
"Bell, Yeremiah",ARI,37,S,905000,72,205,3/3/1978,35,10,Eastern Kentucky,"Winchester, KY",kentucky,Black
"Bellore, Nick",NYJ,54,LB,467333,73,250,5/12/1989,24,3,Central Michigan,"St. Paul, MN",minnesota,White
"Benjamin, Travis",CLE,80,WR,644250,70,175,12/29/1989,23,2,Miami (Fla.),"Belle Glade, FL",florida,Black
"Benn, Arrelious",PHI,17,WR,830000,74,220,9/8/1988,25,4,Illinois,"Washington, DC",DC,Black
"Bennett, Earl",CHI,80,WR,3710000,72,206,3/23/1987,26,6,Vanderbilt,"Birmingham, AL",alabama,Black
"Bennett, Martellus",CHI,83,TE,5100000,78,265,1/10/1987,26,6,Texas A&M,"San Diego, CA",california,Black
"Bennett, Michael",SEA,72,DE,4800000,76,274,11/13/1985,28,5,Texas A&M,"Avondale, LA",louisiana,Black
"Bentley, Bill",DET,28,CB,677278,70,176,5/16/1989,24,2,Louisiana-Lafayette,"Miami, FL",florida,Black
"Bequette, Jake",NE,92,DE,664950,77,265,2/21/1989,24,2,Arkansas,"Little Rock, AR",arkansas,White
"Berger, Joe",MIN,61,C,905000,77,305,5/25/1982,31,9,Michigan Tech,"Fremont, MI",michigan,White
"Bergstrom, Tony",OAK,70,OL,651504,77,310,8/8/1986,27,2,Utah,"Salt Lake City, UT",utah,White
"Bernadeau, Mackenzy",DAL,73,OL,2875000,76,333,1/3/1986,27,6,Bentley,"Waltham, MA",massachusetts,Black
"Bernard, Giovani",CIN,25,RB,1313466,69,208,1/22/1991,22,0,North Carolina,"Davie, FL",florida,Black
"Berry, Aaron",NYJ,22,CB,607500,71,180,6/25/1988,25,4,Pittsburgh,"Harrisburg, PA",pennsylvania,Black
"Berry, Eric",KC,29,S,8340717,72,211,12/29/1988,24,4,Tennessee,"Atlanta, GA",georgia,Black
"Bess, Davone",CLE,15,WR,,70,195,9/13/1985,28,6,Hawaii,"Hayward, CA",california,Black
"Bethea, Antoine",IND,41,S,6750000,71,206,7/27/1984,29,8,Howard,"Savannah, GA",georgia,Black
"Bethel, Justin",ARI,31,CB,553556,72,200,6/17/1990,23,2,Presbyterian,"Sumter, SC",south carolina,Black
"Bethel-Thompson, McLeod",MIN,4,QB,437500,75,230,7/3/1988,25,2,Sacramento State,"San Francisco, CA",california,White
"Biermann, Kroy",ATL,71,DE,3050000,75,255,9/12/1985,28,6,Montana,"Hardin, MT",montana,White
"Biggers, E.J.",WAS,30,CB,1500000,72,185,6/13/1987,26,5,Western Michigan,"Miami, FL",florida,Black
"Bilukidi, Christo",OAK,96,DL,550966,77,320,12/13/1989,24,2,Georgia State,,Angola,Black
"Binns, Armon",MIA,19,WR,415000,75,211,9/8/1989,24,2,Cincinnati,"Pasadena, CA",california,Black
"Bird, Bront",SD,97,LB,510000,76,250,3/17/1989,24,2,Texas Tech,"Odessa, TX",texas,White
"Bironas, Rob",TEN,2,K,3337500,72,210,1/29/1978,35,9,Georgia Southern,"Louisville, KY",kentucky,White
"Bishop, Desmond",MIN,55,LB,1350000,74,238,7/24/1984,29,7,California,"San Francisco, CA",california,Black
"Black, Ahmad",TB,43,S,556685,69,184,12/12/1989,24,2,Florida,"Lakeland, FL",florida,Black
"Blackburn, Chase",CAR,93,LB,1025000,75,245,6/10/1983,30,9,Akron,"Bellefontaine, OH",ohio,White
"Blackmon, Justin",JAC,14,WR,4628026,73,210,1/9/1990,23,2,Oklahoma State,"Oceanside, CA",california,Black
"Blake, Antwon",JAC,38,CB,480000,69,198,8/8/1990,23,2,Texas-El Paso,"Jacksonville, FL",florida,Black
"Blake, Emory",STL,16,WR,495000,72,196,7/18/1991,22,,Auburn,,,Black
"Blalock, Justin",ATL,63,OL,6400000,76,326,12/20/1983,30,7,Texas,"Dallas, TX",texas,Black
"Blanton, Robert",MIN,36,S,577763,73,200,9/7/1989,24,2,Notre Dame,"Clackamas, OR",oregon,Black
"Blount, LeGarrette",NE,29,RB,680000,72,247,12/5/1986,27,4,Oregon,"Madison, FL",florida,Black
"Boggs, Taylor",CHI,60,C,405000,75,285,2/20/1987,26,1,Humboldt State,"Pasadena, CA",california,White
"Bohanon, Tommy",NYJ,40,FB,555562,73,246,9/10/1990,23,0,Wake Forest,"Cap Corale, FL",florida,White
"Bolden, Brandon",NE,38,RB,485000,71,220,1/26/1990,23,2,Mississippi,"Baton Rouge, LA",louisiana,Black
"Bolden, Omar",DEN,31,CB,643607,70,195,12/20/1988,25,2,Arizona State,"Fullerton, CA",california,Black
"Boling, Clint",CIN,65,OL,628112,77,311,5/9/1989,24,3,Georgia,"Atlanta, GA",georgia,White
"Boone, Alex",SF,75,OL,1490000,80,300,5/4/1987,26,4,Ohio State,"Lakewood, OH",ohio,White
"Boothe, Kevin",NYG,77,OL,905000,77,320,7/5/1983,30,8,Cornell,"Queens, NY",new york,Black
"Boren, Justin",DEN,72,OL,405000,74,315,4/28/1988,25,2,Ohio State,"Pickerington, OH",ohio,White
"Bosher, Matt",ATL,5,P,533950,72,208,10/18/1987,26,3,Miami (Fla.),"Greenacres, FL",florida,White
"Bostic, Jon",CHI,57,LB,985200,73,245,5/5/1991,22,0,Florida,"Wellington, FL",florida,Black
"Bostick, Brandon",GB,86,TE,495000,75,250,5/3/1989,24,1,Newberry,,,Black
"Bosworth, Kyle",NYG,48,LB,555000,73,236,11/21/1986,27,4,UCLA,"Irving, TX",texas,White
"Bowe, Dwayne",KC,82,WR,11200000,74,221,9/21/1984,29,7,LSU,"Miami, FL",florida,Black
"Bowen, Stephen",WAS,72,DE,5500000,77,310,3/28/1984,29,8,Hofstra,"Holly Ridge, NC",north carolina,Black
"Bowers, Da'Quan",TB,91,DE,962500,76,288,2/23/1990,23,3,Clemson,"Bamberg, SC",south carolina,Black
"Bowie, Michael",SEA,73,OL,551474,76,332,9/25/1991,22,0,Oklahoma State,"Tulsa, OK",oklahoma,Black
"Bowman, NaVorro",SF,53,LB,6624286,72,242,5/28/1988,25,4,Penn State,"District Heights, MD",maryland,Black
"Bowman, Zack",CHI,38,CB,780000,73,196,11/18/1984,29,6,Nebraska,"Charleston, SC",south carolina,Black
"Boyce, Josh",NE,82,WR,659250,71,203,5/6/1991,22,0,Texas Christian,"Copperas Cove, TX",texas,Black
"Boyd, Josh",GB,93,DE,576140,75,310,8/3/1989,24,0,Mississippi State,,,Black
"Boykin, Brandon",PHI,22,CB,626367,69,185,7/13/1990,23,2,Georgia,"La Grange, GA",georgia,Black
"Boykin, Jarrett",GB,11,WR,480000,74,218,11/4/1989,24,2,Virginia Tech,"Chattanooga, TN",tennessee,Black
"Brackett, Brett",JAC,47,TE,430000,77,246,12/13/1987,26,2,Penn State,"New Brunswick, NJ",new jersey,White
"Bradfield, Cameron",JAC,78,OL,466667,76,308,9/14/1987,26,3,Grand Valley State,"Grand Rapids, MI",michigan,Black
"Bradford, Allen",SEA,52,LB,543750,71,235,8/31/1988,25,3,USC,"Santa Clara, CA",california,Black
"Bradford, Sam",STL,8,QB,13007500,76,224,11/8/1987,26,4,Oklahoma,"Oklahoma City, OK",oklahoma,Native American
"Bradham, Nigel",BUF,53,LB,641065,74,241,9/4/1989,24,2,Florida State,"Crawfordville, FL",florida,Black
"Bradley, Stewart",DEN,55,LB,1200000,76,258,11/2/1983,30,7,Nebraska,"Salt Lake City, UT",utah,White
"Bradshaw, Ahmad",IND,44,RB,2000000,70,214,3/19/1986,27,7,Marshall,"Bluefield, VA",virginia,Black
"Brady, Tom",NE,12,QB,14120000,76,225,8/3/1977,36,14,Michigan,"San Mateo, CA",california,White
"Branch, Alan",BUF,90,DL,3000000,78,325,12/29/1984,28,7,Michigan,"Albuquerque, NM",new mexico,Black
"Branch, Andre",JAC,90,DE,1272484,77,265,7/14/1989,24,2,Clemson,"Richmond, VA",virginia,Black
"Branch, Tyvon",OAK,33,S,6863000,72,210,12/11/1986,27,6,Connecticut,"Syracuse, NY",new york,Black
"Bray, Tyler",KC,9,QB,,78,215,12/27/1991,21,0,Tennessee,"Fresno, CA",california,White
"Brazill, LaVon",IND,15,WR,544670,71,194,3/15/1989,24,2,Ohio U.,"Lake Worth, FL",florida,Black
"Brees, Drew",NO,9,QB,20000000,72,209,1/15/1979,34,13,Purdue,"Austin, TX",texas,White
"Brewer, Aaron",DEN,46,LS,481333,77,230,7/5/1990,23,2,San Diego State,"Orange, CA",california,White
"Brewer, James",NYG,73,OL,619616,78,330,12/23/1987,26,3,Indiana,"Indianapolis, IN",indiana,Black
"Brewster, Michael",JAC,60,C,480000,76,305,7/27/1989,24,2,Ohio State,"Orlando, FL",florida,White
"Briggs, Lance",CHI,55,LB,5833333,73,244,11/12/1980,33,11,Arizona,"Los Angeles, CA",california,Black
"Brinkley, Beau",TEN,48,LS,486667,76,237,1/25/1990,23,2,Missouri,"Kansas City, MO",missouri,White
"Brinkley, Jasper",ARI,54,LB,1750000,73,252,7/12/1985,28,5,South Carolina,"Thomson, GA",georgia,Black
"Brisiel, Mike",OAK,65,OL,4000000,77,310,3/14/1983,30,6,Colorado State,"San Marcos, TX",texas,White
"Britt, Kenny",TEN,18,WR,1891800,75,215,9/19/1988,25,5,Rutgers,"Bayonne, NJ",new jersey,Black
"Britton, Eben",CHI,62,OL,715000,78,308,10/14/1987,26,5,Arizona,"Brooklyn, NY",new york,White
"Brock, Kevin",KC,46,TE,390000,77,249,4/9/1986,27,1,Rutgers,"Shreveport, LA",louisiana,Black
"Brock, Tramaine",SF,26,CB,1323000,70,197,8/20/1988,25,4,Belhaven College,"Gulfport, MS",mississippi,Black
"Brockel, Richie",CAR,47,TE,555000,73,255,7/24/1986,27,3,Boise State,"Phoenix, AZ",arizona,White
"Brockers, Michael",STL,90,DL,2379499,77,322,12/21/1990,23,2,LSU,,,Black
"Brooks, Ahmad",SF,55,LB,6166667,75,259,3/14/1984,29,8,Virginia,"Fairfax, VA",virginia,Black
"Brooks, Ron",BUF,33,CB,625135,70,190,10/16/1988,25,2,LSU,"Dallas, TX",texas,Black
"Brown, Andre",NYG,35,RB,2023000,72,227,12/15/1986,27,4,North Carolina State,"Baltimore, MD",maryland,Black
"Brown, Antonio",PIT,84,WR,7173333,70,186,7/10/1988,25,4,Central Michigan,"Miami, FL",florida,Black
"Brown, Arthur",BAL,59,LB,888558,72,235,6/17/1990,23,0,Kansas State,,kansas,Black
"Brown, Braden",STL,,OL,500000,78,300,10/10/1988,25,0,Brigham Young,,,White
"Brown, Bryce",PHI,34,RB,537720,72,223,5/14/1991,22,2,Kansas State,"Wichita, KS",kansas,Black
"Brown, Charles",NO,71,OL,775000,77,297,4/10/1987,26,4,USC,"Chino Hills, CA",california,Black
"Brown, Chykie",BAL,23,CB,546140,71,190,12/26/1986,26,3,Texas,"Houston, TX",texas,Black
"Brown, Colin",BUF,74,C,722500,79,326,8/29/1985,28,2,Missouri,"Chillicothe, MO",missouri,White
"Brown, Curtis",PIT,31,CB,640300,72,185,9/24/1988,25,3,Texas,"Longview, TX",texas,Black
"Brown, Donald",IND,31,RB,2247000,70,207,4/11/1987,26,5,Connecticut,"Atlantic Highlands, NJ",new jersey,Black
"Brown, Duane",HOU,76,OL,8028571,76,300,8/30/1985,28,6,Virginia Tech,"Richmond, VA",virginia,Black
"Brown, Jalil",KC,30,CB,632325,73,205,10/14/1987,26,3,Colorado,"Phoenix, AZ",arizona,Black
"Brown, James",CHI,78,OL,480000,76,306,11/30/1988,25,2,Troy,"Chicago, IL",illinois,Black
"Brown, Jaron",ARI,13,WR,498000,74,205,1/8/1990,23,0,Clemson,,,Black
"Brown, Josh",NYG,3,K,1050000,72,202,4/29/1979,34,11,Nebraska,"Tulsa, OK",oklahoma,White
"Brown, Levi",ARI,75,OL,6000000,78,324,3/16/1984,29,7,Penn State,"Jacksonville, NC",north carolina,Black
"Brown, Marlon",BAL,14,WR,496667,77,205,4/22/1991,22,0,Georgia,,,Black
"Brown, Mike",JAC,12,WR,397500,70,200,2/9/1989,24,1,Liberty,,,Black
"Brown, Ronnie",SD,23,RB,840000,72,223,12/12/1981,32,9,Auburn,"Rome, GA",georgia,Black
"Brown, Sergio",IND,38,S,485000,74,217,5/22/1988,25,4,Notre Dame,"Oak Park, IL",illinois,Black
"Brown, Stevie",NYG,27,S,2023000,71,221,7/17/1987,26,4,Michigan,"Dallas, TX",texas,Black
"Brown, Tarell",SF,25,CB,1627000,70,193,1/6/1985,28,7,Texas,"New York, NY",new york,Black
"Brown, Vincent",SD,86,WR,656517,71,190,1/25/1989,24,3,San Diego State,"Upland, CA",california,Black
"Brown, Zach",TEN,55,LB,964575,73,242,10/23/1989,24,2,North Carolina,"Beaufort, SC",south carolina,Black
"Browner, Brandon",SEA,39,CB,537919,76,221,8/2/1984,29,3,Oregon State,"Sylmar, CA",california,Black
"Broyles, Ryan",DET,84,WR,919625,70,188,4/9/1988,25,2,Oklahoma,"Oklahoma City, OK",oklahoma,Black
"Bruton, David",DEN,30,S,1500000,74,217,7/23/1987,26,5,Notre Dame,"Winchester, KY",kentucky,Black
"Bryant, Armonty",CLE,95,DE,555150,76,265,5/20/1990,23,0,East Central (OK),"Wichita Falls, TX",texas,Black
"Bryant, Corbin",BUF,97,DL,450000,76,300,1/4/1988,25,1,Northwestern,"Chicago, IL",illinois,Black
"Bryant, Desmond",CLE,92,DL,6800000,78,310,12/15/1985,28,5,Harvard,"Shorewood, IL",illinois,Black
"Bryant, Dez",DAL,88,WR,2362100,74,222,11/4/1988,25,4,Oklahoma State,"Lufkin, TX",texas,Black
"Bryant, DJ",BAL,49,LB,405000,75,248,3/3/1989,24,0,James Madison,,,Black
"Bryant, Matt",ATL,3,K,2675000,69,203,5/29/1975,38,12,Baylor,"Orange, TX",texas,White
