Latitude,Longitude,NAME,LOCATION,COUNTY
39.00396172,-94.52306126,Mary A. Fraser Memorial Drinking Fountain,6700 Zoo Dr @ Kansas City Zoo Swope Park,Jackson
39.01283539,-94.60232706,Meyer Circle Sea Horse Fountain,Meyer Bouldevard & Ward Parkway,Jackson
39.04819141,-94.58782214,Mill Creek Park Eco-Pond Fountain,North end of Mill Creek Park,Jackson
39.0159453,-94.60213711,Mirror Pool Fountain,62nd & Ward Parkway,Jackson
39.104366,-94.583129,Muse of the Missouri,8th and Main Streets,
39.18078294,-94.57575383,Northland Fountain,N Oak St Trfy & NE Vivion Rd @ Anita Gorman P,Clay
39.08944716,-94.59760846,Observation Park Fountain,Holly & 20th St,Jackson
39.103763,-94.586835,Poindexter Fountain,W 9th Street and Central Street,
39.083362,-94.571308,Quenching Cup,2400 Troost Ave,
39.100216,-94.576648,Richard Bolling Federal Building Reflecting Pool,601. E 12th Street,
39.003593,-94.592215,Romanelli Island Fountain,"W 69th Street, Edgevale Road and Wornall Road",
39.00246152,-94.60303099,Romany Fountain,Ward Pkwy and Romany Dr,Jackson
39.100712,-94.577817,Sea Horse Fountain ,414 E 12th Street,
39.04237655,-94.58821169,Seville Light Fountain,102 W 47th St (47th St & Nichols Pkwy),Jackson
39.00724441,-94.53175518,Shirley Bush Helzberg Fountain,4600 Starlight Rd @ Starlight Theatre,Jackson
39.25478884,-94.48750152,Shoal Creek Gof Course Entry Fountain,Shoal Creek Pkwy & 89th St,Clay
39.25171912,-94.48775342,Shoal Creek Parkway Garden Fountain,Shoal Creek Pkwy & 87th St,Clay
39.087057,-94.585328,South Entry Fountain,2 Memorial Dr,
39.03804772,-94.54149954,Spirit of Freedom Fountain,Brush Creek Parkway at Cleveland Ave,Jackson
39.015186,-94.607365,Stratford Gardens Fountain,West 63rd Street and State Lind Road,
39.11256462,-94.54500166,The Concourse Fountain,100 Benton Blvd,Jackson
39.097546,-94.579948,The Moons,1407 Grand Boulevard,
39.10950195,-94.58111274,The Vision Fountain,400 Grand Blvd (By N entrance of Arabia Museum),Jackson
39.10270458,-94.56360958,The Women's Leadership Foundtain,9th & Paseo,Jackson
39.00331524,-94.51722613,Thomas H. Swope Memorial Fountain,West of Swope Memorial in Swope Park,Jackson
39.066787,-94.590706,VFW Centennial Plaza,406 W 34th Street,
39.05004687,-94.58799556,Vietnam Veterans' Memorial Fountain,Broadway & 42nd St,Jackson
39.015944,-94.602164,Ward Parkway Mirror Pool Fountain,Ward Parkway & W 62nd Street,
39.082739,-94.583478,Westin Crown Center Lobby Fountain,1 E Pershing Road,
39.0846785,-94.59362613,Westside Fountain,Southwest Blvd and Summit St 23rd & Summit,Jackson
39.1021731,-94.58322939,William T. & Charlotte Crosby Kemper Memorial Fountain,10th & Main ,Jackson
39.09944095,-94.56375927,William T. Fitzsimons Memorial Fountain,E 12th St & Paseo,Jackson
39.03880319,-94.58128188,William Volker Memorial Fountain,Volker Blvd & Oak St,Jackson
39.039809,-94.579167,Woman with Shell,4800 Rockhill Road,
39.102707,-94.563612,Women's Leadership Fountain,E 9th Street & The Paseo,
39.007398,-94.593443,Wornall Fountain,W 67th Street & Wornall Road,
39.007206,-94.531496,Helzberg Garden of the Stars,4600 Starlight Road,
39.052037,-94.480319,Kauffman Stadium Fountain,I-70 and Stadium Drive,
39.042703,-94.59046,Neptune Fountain,47th and Wornall,
39.11334,-94.544283,Northeast concourse Fountain,Benton and Gladstone Blvd,
