long,lat,OBJECTID,ProviderId,ProviderName,ServiceName,CreateDate,ModifyDate,ProviderType,ProviderWebSite,LocationName,AddressLine1,AddressLine2,City,State,County,MailAddressLine1,MailCity,MailState,MailZipCode,EmailAddress,PhoneNumber
-93.24646303,45.00642896,11,13100755,East Side Neighborhood Services (ESNS),Food Shelf - Senior,3/19/08,1/15/16,Non-profit,http://www.esns.org,Senior Food Shelf,1801 Central Ave NE,,Minneapolis,MN,Hennepin,1700 2nd St NE,Minneapolis,MN,55413-1139,seniorprograms@esns.org,6127889521
-93.28755708,44.99989896,12,13103830,Salvation Army - Metro Area,Food Shelf,10/2/09,10/1/15,Non-profit,http://salvationarmynorth.org,Parkview Service Center,2024 Lyndale Ave N,,Minneapolis,MN,Hennepin,2024 Lyndale Ave N,Minneapolis,MN,55411-2715,,6125226581
-93.2586304,44.96369355,13,13100675,Community Emergency Service (CES),Food Shelf,4/25/02,9/16/15,Non-Profit,http://www.cesmn.org,*Main Site (Community Emergency Service (CES)),1900 11th Ave S,,Minneapolis,MN,Hennepin,1900 11th Ave S,Minneapolis,MN,55404-2000,ces@cesmn.org,6128701125
-93.27859753,44.96366235,14,13100916,Plymouth Congregational Church,Food Shelf - Groveland,9/27/04,7/31/15,Faith Community,http://www.grovelandfoodshelf.org/,*Main Site (Plymouth Congregational Church),1900 Nicollet Ave,,Minneapolis,MN,Hennepin,1900 Nicollet Ave,Minneapolis,MN,55403-3789,info@grovelandfoodshelf.org,6128710277
-93.21341508,44.97068666,15,13101662,Minnesota Teamsters Service Bureau,Food Shelf - Teamsters,5/14/02,5/16/16,Non-Profit,http://www.mntsb.org,Teamster Food Shelf,3001 University Ave SE,,Minneapolis,MN,Hennepin,3001 University Ave SE,Minneapolis,MN,55414-3340,,6123780446
-93.25713831,44.9596177,16,13103915,Pillsbury United Communities,Food Shelf - multiple locations in Minneapolis,9/30/09,2/10/16,Non-Profit,http://www.puc-mn.org,Pillsbury United Communities - Waite House,2323 11th Ave S,,Minneapolis,MN,Hennepin,2323 11th Ave S,Minneapolis,MN,55404-3803,segoviaf@puc-mn.org,6127211681
-93.66813938,44.93403415,17,13101110,Westonka Food Shelf - St. Vincent De Paul Society,Food Shelf,5/8/01,4/8/16,Non-profit,http://www.ourladyofthelake.com/church/parish/ministries/foodshelf,*Main Site (Westonka Food Shelf - St. Vincent De Paul Society),2443 Commerce Blvd,,Mound,MN,Hennepin,2385 Commerce Blvd,Mound,MN,55364-1427,westonkafoodshelf@frontier.com,9524725599
-93.25431663,44.91615831,18,12901,New Creation Baptist Church,Food Shelf,9/27/13,12/29/15,Faith Community,http://newcreationbaptistchurch.net,*Main Site (New Creation Baptist Church),1414 E 48th St,,Minneapolis,MN,Hennepin,1414 E 48th St,Minneapolis,MN,55417-1132,,
-93.25105367,44.84082411,19,9823,Good in the 'Hood,Food Shelf,5/12/11,3/2/16,Non-profit,http://www.goodinthehood.org,*Main Site (Good in the 'Hood),1630 E 90th St,Cedarcrest Church,Bloomington,MN,Hennepin,2101 Chicago Ave S,Minneapolis,MN,55404-2815,info@goodinthehood.org,6122174003
-93.25754866,44.96942521,20,13103476,Bethesda Baptist Church,Food Shelf,7/3/01,1/13/16,Faith Community,,*Main Site (Bethesda Baptist Church),1118 S 8th St,,Minneapolis,MN,Hennepin,1118 S 8th St,Minneapolis,MN,55404-1399,bethesda1118@q.com,6123325904
-93.25104069,44.94843217,21,13103830,Salvation Army - Metro Area,Food Shelf,10/2/09,10/1/15,Non-profit,http://salvationarmynorth.org,Temple Service Center,1604 E Lake St,,Minneapolis,MN,Hennepin,1604 E Lake St,Minneapolis,MN,55407-1897,,6127211513
-93.2784376,44.93379972,22,13101678,"Aliveness Project, The",Food Shelf for Persons living with HIV/AIDS,5/8/02,5/13/16,Non-profit,http://www.aliveness.org,"*Main Site (Aliveness Project, The)",3808 Nicollet Ave,,Minneapolis,MN,Hennepin,3808 Nicollet Ave,Minneapolis,MN,55409-1304,executive@aliveness.org,6128227946
-93.29112705,44.93719983,23,13100983,Volunteers of America - Minnesota,Southwest Center,1/11/06,4/13/15,Non-profit,https://www.voamnwi.org/minnesota,Southwest Senior Center - Southwest DayElders,3612 Bryant Ave S,,Minneapolis,MN,Hennepin,3612 Bryant Ave S,Minneapolis,MN,55409-1018,mschoenberger@voamn.org,6128223194
-93.27699235,44.95223612,24,13101074,Simpson Food Pantry,Food Shelf - Whittier Neighborhood Supplemental,8/9/01,9/29/15,Non-Profit,http://simpsonchurchmn.org,*Main Site (Simpson Food Pantry),2740 1st Ave S,,Minneapolis,MN,Hennepin,2740 1st Ave S,Minneapolis,MN,55408-1611,S8747741@aim.com,6128747741
-93.29555836,44.94686202,25,13100814,Joyce Uptown Food Shelf,Food Shelf - Supplemental,5/17/01,9/24/13,Non-profit,http://www.joyceuptownfoodshelf.org,*Main Site (Joyce Uptown Food Shelf),3041 Fremont Ave S,,Minneapolis,MN,Hennepin,3041 Fremont Ave S,Minneapolis,MN,55408-2722,joyce@visi.com,6128254431
-93.26009509,44.948315,26,13100776,Division of Indian Work,Food Shelf - Horizons Unlimited for Urban American Indians,11/15/01,11/23/15,Non-profit,http://diw.gmcc.org/division-of-indian-work-program-overview,*Main Site (Division of Indian Work),1001 E Lake St,,Minneapolis,MN,Hennepin,PO Box 7509,Minneapolis,MN,55407-0509,mhardy@diw-mn.org,6122796343
-93.65593949,45.01123579,27,13101411,Maple Plain Area Food Shelf,Food Shelf,8/16/01,1/7/16,Non-profit,http://www.mpcommunitychurch.org,*Main Site (Maple Plain Area Food Shelf),1815 Budd Ave,,Maple Plain,MN,Hennepin,1815 Budd Ave,Maple Plain,MN,55359-9772,info@mpcommunitychurch.org,7634791620
-93.35831946,45.04809552,28,9625,North Suburban Emergency Assistance Response (NEAR),Food Shelf,3/3/11,12/1/15,Non-profit,http://www.nearfoodshelf.org,*Main Site (North Suburban Emergency Assistance Response (NEAR)),5209 W Broadway Ave,,Crystal,MN,Hennepin,5209 W Broadway Ave,Crystal,MN,55429-3101,http://www.nearfoodshelf.org/,7635332836
-93.25043836,44.97070363,29,13103915,Pillsbury United Communities,Food Shelf - multiple locations in Minneapolis,9/30/09,2/10/16,Non-Profit,http://www.puc-mn.org,Pillsbury United Communities - Brian Coyle Center,420 15th Ave S,,Minneapolis,MN,Hennepin,420 15th Ave S,Minneapolis,MN,55454-1114,dubea@puc-mn.org,6123385282
-93.28260873,44.9336922,30,13103725,Church of The Incarnation Food Shelf,Food Shelf,9/20/01,10/19/15,Faith Community,http://www.inc-scj.org,*Main Site (Church of The Incarnation Food Shelf),3817 Pleasant Ave S,,Minneapolis,MN,Hennepin,3817 Pleasant Ave S,Minneapolis,MN,55409-1228,foodshelf@incarnation-church.com,6128222101
-93.39107667,45.03449313,31,2844,HopeBridge Food Shelf,Food Shelf,11/19/10,2/4/16,Faith Community,http://www.newhopechurchmn.org/hopebridge,*Main site (HopeBridge Food Shelf),4217 Boone Ave N,,New Hope,MN,Hennepin,4217 Boone Ave N,New Hope,MN,55428-4836,cdavison@newhopechurchmn.org,7635335887
-93.2620911,44.93204505,32,1174,Calvary Lutheran Church - Minneapolis,Food Shelf - Occasional,4/28/04,6/8/16,Faith Community,http://www.clchurch.org,*Main Site (Calvary Lutheran Church - Minneapolis),3901 Chicago Ave,,Minneapolis,MN,Hennepin,3901 Chicago Ave,Minneapolis,MN,55407-2614,,6128272504
-93.65552533,44.93661511,33,13101898,Western Communities Action Network (WeCAN),Mobile Market,7/22/14,10/20/14,Non-profit,http://wecan-help.org,*Main Site (Western Communities Action Network (WeCAN)),5213 Shoreline Dr,,Mound,MN,Hennepin,5213 Shoreline Dr,Mound,MN,55364-1770,wecanconnect@wecan-help.org,9524720742
-93.2923663,45.03989626,34,13835,The Camden Promise,Food Shelf - Client Choice,12/12/14,4/21/16,Non-profit,http://www.thecamdenpromise.org,*Main Site (The Camden Promise),4656 Colfax Ave N,,Minneapolis,MN,Hennepin,4656 Colfax Ave N,Minneapolis,MN,55412-1324,info@thecamdenpromise.org,6125215216
-93.27956657,44.97865348,35,13103830,Salvation Army - Metro Area,Food Shelf,10/2/09,10/1/15,Non-profit,http://salvationarmynorth.org,HOPE Harbor,53 Glenwood Ave,,Minneapolis,MN,Hennepin,53 Glenwood Ave,Minneapolis,MN,55403-1330,,6126590711
-93.21838672,44.91257239,36,13847,Minnehaha United Methodist Church,Food Shelf - Minnehaha,12/17/14,12/18/14,Non-profit,http://www.minnehaha.org,*Main Site (Minnehaha United Methodist Church),3701 E 50th St,,Minneapolis,MN,Hennepin,3701 E 50th St,Minneapolis,MN,55417-1592,office@minnehaha.org,6127216231
-93.26970743,44.97444728,37,12051,St. Olaf Samaritan Ministry,Food Shelf - Supplemental,8/5/14,9/11/15,Faith Community,http://www.saintolaf.org/st-olaf-ministries/social-justice,*Main Site (St. Olaf Samaritan Ministry),215 S 8th St,,Minneapolis,MN,Hennepin,215 S 8th St,Minneapolis,MN,55402-2847,mgriffin@SaintOlaf.org,6123327471
-93.36344636,44.93957424,38,13101086,St. Louis Park Emergency Program (STEP),Food Shelf,6/28/01,6/1/16,Non-profit,http://stepslp.org,*Main Site (St. Louis Park Emergency Program (STEP)),6812 W Lake St,,St. Louis Park,MN,Hennepin,6812 W Lake St,St. Louis Park,MN,55426-4208,info@stepslp.org,9529254899
-93.2191509,44.96905018,39,13100755,East Side Neighborhood Services (ESNS) Glendale Food Shelf,Food Shelf - Serves Glendale Public Housing Residents Only,7/2/10,1/15/16,Non-profit,http://www.esns.org,Prospect Park Glendale Townhomes - Glendale Food Shelf,92 St Mary's Ave SE,,Minneapolis,MN,Hennepin,92 St Mary's Ave SE,Minneapolis,MN,55414,,6123421954
-93.2720898,44.93420802,40,13100917,Sabathani Community Center,Food Shelf,10/9/01,11/13/14,Non-profit,http://www.sabathani.org,*Main Site (Sabathani Community Center),310 E 38th St,,Minneapolis,MN,Hennepin,310 E 38th St,Minneapolis,MN,55409-1337,,6128212396
-93.38824276,45.04963804,41,13101172,The Food Group,Food Shelf Support,9/27/01,2/4/16,Non-profit,http://thefoodgroupmn.org,*Main Site (The Food Group),8501 54th Ave N,,New Hope,MN,Hennepin,8501 54th Ave N,New Hope,MN,55428-3710,tleland@thefoodgroupmn.org,7634503895
-93.25283087,45.00117167,42,15324,Rescue Now Services,Food Shelf,5/12/16,5/31/16,Non-profit,http://www.rescuenowservices.org,*Main Site (Rescue Now Services),697 13th Ave NE,,Minneapolis,MN,Hennepin,697 13th Ave NE,Minneapolis,MN,55413,,6127884829
-93.32616326,45.06312975,43,13100681,Community Emergency Assistance Programs,Food Shelf - No Hassles Youth Food Shelf,10/9/14,10/9/14,Non-Profit,http://www.ceap.org,No Hassles Youth Food Shelf,5929 Brooklyn Blvd,Cross of Glory Lutheran Church,Brooklyn Park,MN,Hennepin,5929 Brooklyn Blvd,Brooklyn Park,MN,55429-2529,,7635669600
-93.28268191,44.98356556,44,13101614,Sharing and Caring Hands,Food Shelf,3/28/02,1/21/16,Non-profit,http://www.sharingandcaringhands.org,*Main Site (Sharing and Caring Hands),525 N 7th St,,Minneapolis,MN,Hennepin,525 N 7th St,Minneapolis,MN,55405,,6123384640
-93.29099263,44.82936522,45,13100980,"VEAP, Inc. - Volunteers Enlisted to Assist People",Food Shelf - Supplemental,9/25/01,2/4/16,Non-Profit,http://www.veapvolunteers.org/services/food-program,"*Main Site (VEAP, Inc. - Volunteers Enlisted to Assist People)",9600 Aldrich Ave S,,Bloomington,MN,Hennepin,9600 Aldrich Ave S,Bloomington,MN,55420-4210,info@veap.org,9528889616
-93.36318375,44.97379173,46,13100927,PRISM,Food Shelf,4/30/02,1/27/16,Non-profit,http://www.prismmpls.org,*Main Site (PRISM),730 Florida Ave S,,Golden Valley,MN,Hennepin,730 Florida Ave S,Golden Valley,MN,55426-1704,mness@prismmpls.org,7635291350
-93.34162111,45.0834097,47,13100681,Community Emergency Assistance Programs,Food Shelf - Supplemental,6/24/02,4/3/15,Non-Profit,http://www.ceap.org,*Main Site (CEAP: Brooklyn Center Office),7051 Brooklyn Blvd,,Brooklyn Center,MN,Hennepin,7051 Brooklyn Blvd,Brooklyn Center,MN,55429-1371,info@ceap.com,7635669600
-93.2190721,44.94841684,48,13101418,CAPI USA,Food Shelf,9/30/09,2/8/16,Non-profit,http://www.capiusa.org,CAPI Asian Specific Food Shelf,3702 East Lake Street,Ste 29,Minneapolis,MN,Hennepin,310 E 38th St,Minneapolis,MN,55409-1300,info@capiusa.org,6127210122
-93.26240632,44.84067602,49,2882,St. Bonaventure Catholic Community,Food Shelf - St. Vincent De Paul,12/21/06,10/8/14,Faith Community,http://www.saintbonaventure.org,*Main site (St. Bonaventure Catholic Community),901 E 90th St,,Bloomington,MN,Hennepin,901 E 90th St,Bloomington,MN,55420-3801,office@saintbonaventure.org,
